"Species","N","allPA","allPA_se","allPA_p","SSSI","SSSI_se","SSSI_p","SAC","SAC_se","SAC_p","SPA","SPA_se","SPA_p","allPA_int","allPA_int_se","allPA_int_p","SSSI_int","SSSI_int_se","SSSI_int_p","SAC_int","SAC_int_se","SAC_int_p","SPA_int","SPA_int_se","SPA_int_p","R2_SSSI","dev_exp_SSSI","BoCC1","Specialisation","LogPChange"
"Blackbird",2242,0.072895515546824,0.0538906015530206,0.176165137968297,0.068052269073585,0.0538529022123142,0.206348682994979,-0.090675468895492,0.0813268825677829,0.264871526255612,-0.00545241757274163,0.0710169385821513,0.938801507276378,0.139160984307675,0.0744546521626702,0.0616130246156701,0.144218955965199,0.0744474717556434,0.0527220267478394,0.296634942681988,0.0953629206684,0.00186714018591756,-0.0617745535324693,0.100709067732606,0.53961443691813,0.120459547542828,0.255603363534344,"A",0.54,0.042289
"Blackcap",2537,-0.201292459270071,0.0396250240009823,3.7756839589554e-07,-0.201934009547565,0.039616757819295,3.44738365116364e-07,-0.265658251116501,0.0648646139010394,4.21111773520628e-05,-0.0823834333254157,0.0534531694879355,0.123261706472119,-0.315283707959831,0.0546407901055392,7.92168907392091e-09,-0.316585316078075,0.0546229245790715,6.7983130930946e-09,-0.208788930378489,0.0770870712516155,0.0067591816917685,0.0799539910190704,0.072721443369383,0.271569433132478,0.292553262770507,0.393237270812173,"G",0.53,0.440692
"Blue Tit",2837,-0.137035979916111,0.0446820049270028,0.00216279236055262,-0.14535456325788,0.0446281603536023,0.00112590700198747,-0.0748749441189361,0.0631490976235755,0.235746680978904,0.118735160614338,0.0584896660415044,0.0423545606652591,-0.0125422238020921,0.0570837363333965,0.826092157524026,-0.0117439418446983,0.0570650265988349,0.836947697376869,-0.228634642909257,0.0833417423483352,0.00608178839960694,-0.0398704207835434,0.0800712815116163,0.618528737183093,0.158490170748452,0.261916703219656,"G",0.41,-0.00663
"Bullfinch",1350,0.0883599306782455,0.0843866869979469,0.295060942352331,0.0905163341582262,0.0844571470102375,0.283835598090342,-0.153274915493679,0.151073835817324,0.310311054561961,0.050371947233039,0.128683743341331,0.695472129638105,-0.50342908323899,0.100561463475107,5.55199923733496e-07,-0.516425708845149,0.100612937215505,2.85468861330033e-07,-0.272832527873775,0.134788177104481,0.0429539273257715,-0.395109395555963,0.173166947957617,0.0225089788154092,0.0933389681451663,0.280811761495462,"R",0.38,0.073429
"Cetti's Warbler",272,-0.0911753228371158,0.327553300139595,0.780741678196357,-0.0838127805728786,0.326299519118478,0.797288065995667,-1.01862243567544,0.364770692889444,0.00523023453777744,0.202275246799316,0.405648762112936,0.618028594555518,-0.186783241848887,0.291943735186383,0.522307888571754,-0.192332575857372,0.290677171977068,0.508182268765852,0.91805758684289,0.429161392636308,0.0324203163136405,-0.681751619062909,0.313812481542384,0.0298194095560042,0.199026604725514,0.470751311271387,"A",2.28,1.361728
"Chaffinch",883,-0.855652810563804,0.152253460492371,1.91041958998878e-08,-0.842184591265653,0.151357285072985,2.63333966358124e-08,-0.568765531602948,0.23995241930832,0.0177723923877506,-0.462501311223592,0.166202113686559,0.00538979431591983,-0.852591993195368,0.184810494996357,3.96266405300467e-06,-0.833000042437413,0.18518989473086,6.85680151923172e-06,0.52761547390151,0.36153035944226,0.144456516511623,-1.13154858872136,0.229756570361674,8.43650867947253e-07,0.201194121425837,0.524684593849249,"G",0.35,-0.05115
"Chiffchaff",2023,-0.127831570121557,0.0536279808844042,0.0171408256859865,-0.12723859974225,0.0536280150709446,0.0176626934370088,0.468391203012675,0.107659932256115,1.35731580802596e-05,0.122334496374459,0.0774721204516273,0.114318240121746,-0.287369801350705,0.0730662439437155,8.38909766141318e-05,-0.286510583655059,0.0731007654469597,8.87724865066797e-05,-0.491192455071884,0.11841164671591,3.35133433854313e-05,-0.471317576911794,0.10418097503513,6.06738883728258e-06,0.128144412191416,0.326092091990145,"G",0.54,0.411304
"Dunnock",2461,0.157236032526035,0.0483208530011589,0.00113792471617296,0.154359928345232,0.0483066451789317,0.00139628405612515,0.0501079738427831,0.0735210687613834,0.49552621224161,0.121380640481486,0.0590292599357439,0.039755610243511,-0.00811650674417964,0.0664889176374458,0.902841144046167,-0.00753903386824273,0.0665597386329034,0.909818736658466,0.0916607736569275,0.097546475378026,0.347390660303753,-0.00549407863134499,0.0793050290487434,0.944768489383328,0.131861945811195,0.222514074419752,"A",0.44,0.070038
"Garden Warbler",910,-0.487428842980751,0.114748394060822,2.15874819808885e-05,-0.487591805468357,0.114771000802594,2.15313718957792e-05,-0.758163166320052,0.231854826978316,0.00107550957343097,0.26962174317042,0.15054417230873,0.0732963537280237,-0.324873266410741,0.115309904251405,0.00484153099325341,-0.324604706904905,0.115319643746254,0.00488036826218147,-0.126329448987326,0.181271297603675,0.485860262085937,-0.489172750346125,0.147361289364963,0.000901635725253893,0.162006677837024,0.430885801551358,"G",0.57,-0.13966
"Goldfinch",235,-0.273311057130786,0.317514141853905,0.389357081168641,-0.268269263305409,0.316899564394734,0.397249623139843,-0.911089469666124,0.481158077762436,0.0582868110573442,-0.904844033280569,0.654261708457822,0.166664823487019,0.553836574340708,0.390286499725412,0.155884053392516,0.55858978717298,0.389925270685038,0.151984762842648,0.968547133983796,0.578908996782436,0.0943162847453612,0.87465631688843,1.00534074505965,0.384295039753331,NA,0.390159504489677,"A",0.6,0.861697
